Bandwidth: 0.5; Centers: 1600; Gamma: 0.1; 准确率: 0.8850
Bandwidth: 0.5; Centers: 1600; Gamma: 0.1; 准确率: 0.8950
Bandwidth: 0.5; Centers: 1600; Gamma: 0.1; 准确率: 0.8975
Bandwidth: 0.4; Centers: 1600; Gamma: 0.1; 准确率: 0.8950
Bandwidth: 0.200; Centers: 1600; Gamma: 0.1; 准确率: 0.9075
Bandwidth: 0.289; Centers: 1600; Gamma: 0.1; 准确率: 0.9050
Bandwidth: 0.378; Centers: 1600; Gamma: 0.1; 准确率: 0.8900
Bandwidth: 0.467; Centers: 1600; Gamma: 0.1; 准确率: 0.8925
Bandwidth: 0.556; Centers: 1600; Gamma: 0.1; 准确率: 0.9025
Bandwidth: 0.644; Centers: 1600; Gamma: 0.1; 准确率: 0.9100
Bandwidth: 0.733; Centers: 1597; Gamma: 0.1; 准确率: 0.9050
Bandwidth: 0.822; Centers: 1582; Gamma: 0.1; 准确率: 0.9025
Bandwidth: 0.911; Centers: 1446; Gamma: 0.1; 准确率: 0.9000
Bandwidth: 1.000; Centers: 1320; Gamma: 0.1; 准确率: 0.9000
Bandwidth: 1.000; Centers: 1320; Gamma: 0.1; 准确率: 0.8975
Bandwidth: 1.125; Centers: 1076; Gamma: 0.1; 准确率: 0.8975
Bandwidth: 1.250; Centers: 829; Gamma: 0.1; 准确率: 0.8975
Bandwidth: 1.375; Centers: 641; Gamma: 0.1; 准确率: 0.9000
Bandwidth: 1.500; Centers: 504; Gamma: 0.1; 准确率: 0.8975
Bandwidth: 1.500; Centers: 504; Gamma: 0.1; 准确率: 0.8925
Bandwidth: 1.625; Centers: 392; Gamma: 0.1; 准确率: 0.8900
Bandwidth: 1.750; Centers: 308; Gamma: 0.1; 准确率: 0.8950
Bandwidth: 1.875; Centers: 250; Gamma: 0.1; 准确率: 0.8925
Bandwidth: 2.000; Centers: 206; Gamma: 0.1; 准确率: 0.8875
