Bandwidth: 5.0000; Centers: 4851; Gamma: 0.01; 准确率: 0.9049
Bandwidth: 6.0526; Centers: 4715; Gamma: 0.01; 准确率: 0.9057
Bandwidth: 7.1053; Centers: 4622; Gamma: 0.01; 准确率: 0.9072
Bandwidth: 8.1579; Centers: 4545; Gamma: 0.01; 准确率: 0.9059
Bandwidth: 9.2105; Centers: 4442; Gamma: 0.01; 准确率: 0.9055
Bandwidth: 10.2632; Centers: 4233; Gamma: 0.01; 准确率: 0.9034
Bandwidth: 11.3158; Centers: 3891; Gamma: 0.01; 准确率: 0.9014
Bandwidth: 12.3684; Centers: 3411; Gamma: 0.01; 准确率: 0.8968
Bandwidth: 13.4211; Centers: 2917; Gamma: 0.01; 准确率: 0.8859
Bandwidth: 14.4737; Centers: 2441; Gamma: 0.01; 准确率: 0.8694
Bandwidth: 15.5263; Centers: 2072; Gamma: 0.01; 准确率: 0.8478
Bandwidth: 3.0000; Centers: 5000; Gamma: 0.01; 准确率: 0.9084
Bandwidth: 3.4444; Centers: 4996; Gamma: 0.01; 准确率: 0.9073
Bandwidth: 3.8889; Centers: 4979; Gamma: 0.01; 准确率: 0.9077
Bandwidth: 4.3333; Centers: 4942; Gamma: 0.01; 准确率: 0.9030
Bandwidth: 4.7778; Centers: 4880; Gamma: 0.01; 准确率: 0.9068
Bandwidth: 5.2222; Centers: 4822; Gamma: 0.01; 准确率: 0.9064
Bandwidth: 5.6667; Centers: 4759; Gamma: 0.01; 准确率: 0.9070
Bandwidth: 6.1111; Centers: 4707; Gamma: 0.01; 准确率: 0.9062
Bandwidth: 6.5556; Centers: 4669; Gamma: 0.01; 准确率: 0.9071
Bandwidth: 7.0000; Centers: 4630; Gamma: 0.01; 准确率: 0.9053
Bandwidth: 10.0000; Centers: 4301; Gamma: 0.1; 准确率: 0.1135
Bandwidth: 10; Centers: 4301; Gamma: 0.0010; 准确率: 0.8141
Bandwidth: 10; Centers: 4301; Gamma: 0.0258; 准确率: 0.6576
Bandwidth: 10; Centers: 4301; Gamma: 0.0505; 准确率: 0.1135
Bandwidth: 10; Centers: 4301; Gamma: 0.0753; 准确率: 0.1135
Bandwidth: 10; Centers: 4301; Gamma: 0.1000; 准确率: 0.1135
Bandwidth: 10; Centers: 4301; Gamma: 0.0010; 准确率: 0.8170
Bandwidth: 10; Centers: 4301; Gamma: 0.0031; 准确率: 0.8786
Bandwidth: 10; Centers: 4301; Gamma: 0.0052; 准确率: 0.9004
Bandwidth: 10; Centers: 4301; Gamma: 0.0073; 准确率: 0.9032
Bandwidth: 10; Centers: 4301; Gamma: 0.0094; 准确率: 0.9052
Bandwidth: 10; Centers: 4301; Gamma: 0.0116; 准确率: 0.8977
Bandwidth: 10; Centers: 4301; Gamma: 0.0137; 准确率: 0.8845
Bandwidth: 10; Centers: 4301; Gamma: 0.0158; 准确率: 0.8663
Bandwidth: 10; Centers: 4301; Gamma: 0.0179; 准确率: 0.8361
Bandwidth: 10; Centers: 4301; Gamma: 0.0200; 准确率: 0.7980
Bandwidth: 25.00; Centers: 383; Gamma: 1.00; ׼ȷ��: 0.1135
