Bandwidth: 15; Centers: 495; Gamma: 0.01; 准确率: 0.1308
Bandwidth: 10; Centers: 791; Gamma: 0.01; 准确率: 0.1341
Bandwidth: 5; Centers: 1169; Gamma: 0.01; 准确率: 0.1352
Bandwidth: 5; Centers: 1424; Gamma: 0.01; 准确率: 0.1321
Bandwidth: 5; Centers: 1415; Gamma: 0.1; 准确率: 0.1232
Bandwidth: 1; Centers: 1615; Gamma: 0.1; 准确率: 0.1304
Bandwidth: 1; Centers: 1637; Gamma: 1; 准确率: 0.1214
Bandwidth: 0.1; Centers: 1614; Gamma: 1; 准确率: 0.1250
Bandwidth: 3; Centers: 1569; Gamma: 1; 准确率: 0.1250
Bandwidth: 3; Centers: 1545; Gamma: 10; 准确率: 0.1214
Bandwidth: 3; Centers: 1559; Gamma: 50; 准确率: 0.1321
Bandwidth: 3; Centers: 1558; Gamma: 100; 准确率: 0.1250
Bandwidth: 3; Centers: 1550; Gamma: 0.001; 准确率: 0.1250
Bandwidth: 5; Centers: 1418; Gamma: 0.001; 准确率: 0.2661
Bandwidth: 7; Centers: 1204; Gamma: 0.001; 准确率: 0.1286
Bandwidth: 5; Centers: 1397; Gamma: 0.001; 准确率: 0.1393
Bandwidth: 5; Centers: 1408; Gamma: 0.001; 准确率: 0.1375
Bandwidth: 4; Centers: 1505; Gamma: 0.001; 准确率: 0.1268
Bandwidth: 6; Centers: 1312; Gamma: 0.001; 准确率: 0.1125
Bandwidth: 10; Centers: 908; Gamma: 0.001; 准确率: 0.2589
Bandwidth: 10; Centers: 914; Gamma: 0.01; 准确率: 0.1286
Bandwidth: 10; Centers: 936; Gamma: 0.001; 准确率: 0.2589
Bandwidth: 5; Centers: 1408; Gamma: 0.001; 准确率: 0.2482
Bandwidth: 5; Centers: 1434; Gamma: 0.0001; 准确率: 0.1464
Bandwidth: 5; Centers: 1404; Gamma: 1000; 准确率: 0.1179
Bandwidth: 20; Centers: 314; Gamma: 0.002; 准确率: 0.1304
Bandwidth: 20; Centers: 316; Gamma: 0.001; 准确率: 0.1107
Bandwidth: 20; Centers: 324; Gamma: 0.1; 准确率: 0.1232
Bandwidth: 20; Centers: 312; Gamma: 0.05; 准确率: 0.1232
Bandwidth: 20; Centers: 321; Gamma: 100; 准确率: 0.1196
Bandwidth: 0.01; Centers: 1623; Gamma: 10; 准确率: 0.1232
Bandwidth: 0.01; Centers: 1624; Gamma: 60; 准确率: 0.1286
Bandwidth: 0.01; Centers: 1621; Gamma: 100; 准确率: 0.1304
Bandwidth: 0.01; Centers: 1622; Gamma: 1000; 准确率: 0.1054
Bandwidth: 0.01; Centers: 544; Gamma: 1000; 准确率: 0.1357
Bandwidth: 0.1; Centers: 552; Gamma: 1000; 准确率: 0.1214
Bandwidth: 0.1; Centers: 1419; Gamma: 1000; 准确率: 0.1375
Bandwidth: 5; Centers: 12; Gamma: 0.1; 准确率: 0.1384
Bandwidth: 20; Centers: 1; Gamma: 0.1; 准确率: 0.1349
Bandwidth: 1; Centers: 244; Gamma: 0.1; 准确率: 0.1471
Bandwidth: 0.01; Centers: 1609; Gamma: 0.1; 准确率: 0.1471
Bandwidth: 0.1; Centers: 1587; Gamma: 0.1; 准确率: 0.1384
Bandwidth: 0.1; Centers: 1587; Gamma: 0.5; 准确率: 0.1384
Bandwidth: 0.5; Centers: 789; Gamma: 0.5; 准确率: 0.1246
Bandwidth: 0.5; Centers: 789; Gamma: 0.1; 准确率: 0.1332
Bandwidth: 0.3; Centers: 1253; Gamma: 0.1; 准确率: 0.1246
Bandwidth: 0.4; Centers: 1014; Gamma: 0.1; 准确率: 0.1349
Bandwidth: 0.4; Centers: 1014; Gamma: 0.1; 准确率: 0.1471
Bandwidth: 0.5; Centers: 789; Gamma: 0.1; 准确率: 0.1349
Bandwidth: 0.5; Centers: 825; Gamma: 0.1; 准确率: 0.1472
Bandwidth: 0.5; Centers: 825; Gamma: 0.1; 准确率: 0.9069
Bandwidth: 0.5; Centers: 825; Gamma: 0.1; 准确率: 0.8939
